time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-31T12:00:20.020Z,-15.1648,-173.4354,25.09,4.6,mb,,87,2.033,1.37,us,us10004buu,2016-02-02T12:59:58.040Z,"93km NNE of Hihifo, Tonga",earthquake,11.2,5.5,0.141,16,reviewed,us,us
2015-12-31T11:48:07.270Z,46.7921667,-112.0108333,8.55,2.89,ml,27,169,0.148,0.15,mb,mb80118049,2016-02-04T12:39:42.040Z,"8km NNE of Helena Valley Northwest, Montana",earthquake,0.43,0.57,0.244,11,reviewed,mb,mb
2015-12-31T11:35:26.400Z,36.6123,-98.8055,6.285,3.2,ml,,127,,0.55,us,us10004akn,2016-02-04T12:35:09.040Z,"24km SSW of Alva, Oklahoma",earthquake,4.1,7.1,,,reviewed,tul,tul
2015-12-31T10:59:21.040Z,-4.6061,152.9076,59.94,4.5,mb,,253,0.848,0.74,us,us10004buw,2016-02-02T12:51:35.040Z,"20km SW of Taron, Papua New Guinea",earthquake,13.2,9.1,0.18,11,reviewed,us,us
2015-12-31T10:56:58.120Z,11.1535,-86.6205,20,5.8,mww,,72,1.097,1.44,us,us10004akg,2016-02-16T10:01:07.277Z,"71km S of Masachapa, Nicaragua",earthquake,6,1.8,,,reviewed,us,us
2015-12-31T09:22:49.160Z,47.4529,153.0136,74.38,4.7,mb,,87,6.407,0.81,us,us10004ak2,2016-02-02T12:39:59.040Z,"Kuril Islands",earthquake,10.7,6.2,0.063,75,reviewed,us,us
2015-12-31T06:26:22.400Z,35.671,-97.4083,5.969,2.5,ml,,52,,0.6,us,us10004aju,2016-01-29T12:33:53.581Z,"6km ENE of Edmond, Oklahoma",earthquake,1.7,5.3,,,reviewed,tul,tul
2015-12-31T05:13:05.600Z,18.6387,-64.9905,17,2.9,Md,8,226.8,0.28746089,0.27,pr,pr15365001,2016-01-29T12:28:35.398Z,"33km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.4,2.1,0,5,reviewed,pr,pr
2015-12-31T04:35:43.740Z,-23.8467,-68.9605,95.68,4.2,mb,,89,0.789,0.67,us,us10004ajn,2016-02-04T02:52:26.040Z,"128km SW of San Pedro de Atacama, Chile",earthquake,6.3,9.2,0.237,5,reviewed,us,us
2015-12-31T03:50:30.000Z,31.09,57.08,8,3.9,mb,,,,0.89,us,us10004bum,2016-02-04T02:37:28.040Z,"32km SE of Ravar, Iran",earthquake,4.4,5,0.182,8,reviewed,teh,us
2015-12-31T03:26:38.500Z,36.8328,-97.7676,5.41,3,ml,,51,,0.47,us,us10004ajg,2016-02-04T02:12:32.040Z,"4km NW of Medford, Oklahoma",earthquake,1.6,5.1,,,reviewed,tul,tul
2015-12-31T03:23:25.440Z,7.2618,94.4026,35,4.7,mb,,123,3.237,0.81,us,us10004ajh,2016-02-04T02:04:43.040Z,"142km ESE of Mohean, India",earthquake,4.1,2,0.099,31,reviewed,us,us
2015-12-31T02:43:16.000Z,34.96,23.29,22,4.2,mb,,,,0.87,us,us10004aj2,2016-02-04T00:36:06.040Z,"46km SW of Palaiochora, Greece",earthquake,4.4,5,0.159,11,reviewed,ath,us
2015-12-31T02:20:43.090Z,19.4356,-73.6324,10,4.6,mwr,,29,1.395,0.92,us,us10004aj0,2016-02-04T03:21:26.040Z,"42km SW of Bombardopolis, Haiti",earthquake,4.5,1.8,0.071,19,reviewed,us,us
2015-12-31T01:47:34.000Z,52.1613,179.1362,36.3,2.6,ml,,,,0.43,us,us10004cc6,2016-02-02T03:09:00.040Z,"39km NW of Semisopochnoi Island, Alaska",earthquake,18.1,10.1,,,reviewed,ak,ak
2015-12-31T00:53:13.260Z,21.2344,121.8011,125.13,4.6,mb,,80,1.711,0.64,us,us10004air,2016-01-29T23:20:40.529Z,"49km N of Itbayat, Philippines",earthquake,8.8,6.8,0.069,62,reviewed,us,us
2015-12-31T00:51:00.300Z,35.6644,-97.3975,6.18,2.8,ml,,53,,0.45,us,us10004aip,2016-01-24T06:46:46.022Z,"7km E of Edmond, Oklahoma",earthquake,1.6,4.4,,,reviewed,tul,tul
2015-12-31T00:46:46.800Z,19.3376,-65.43,42,3.2,Md,9,280.8,1.03306258,0.2,pr,pr15365000,2016-01-24T06:54:46.611Z,"109km NNE of Vieques, Puerto Rico",earthquake,2.2,10.3,0,9,reviewed,pr,pr
2015-12-30T23:52:25.108Z,41.847,-119.6296,10,2.7,ml,8,76.06,0.164,0.1883,nn,nn00524756,2016-01-29T22:56:07.824Z,"70km ESE of Lakeview, Oregon",earthquake,3.73,3.1,0.51,5,reviewed,nn,nn
2015-12-30T23:20:56.840Z,0.0229,123.8194,143.05,4.6,mb,,51,1.488,0.83,us,us10004aif,2016-01-29T22:17:36.258Z,"44km SSW of Molibagu, Indonesia",earthquake,6.4,6.7,0.083,43,reviewed,us,us
2015-12-30T23:18:01.800Z,29.3009,130.3759,30.91,4.4,mb,,137,2.202,0.26,us,us10004bu8,2016-01-29T22:50:44.363Z,"135km NE of Naze, Japan",earthquake,10.3,7.3,0.179,9,reviewed,us,us
2015-12-30T22:24:35.600Z,36.2848,-96.6616,3.902,2.5,ml,,84,,0.58,us,us10004ai8,2016-01-28T03:19:43.132Z,"14km ESE of Pawnee, Oklahoma",earthquake,1.1,6.3,,,reviewed,tul,tul
2015-12-30T21:55:37.000Z,-22.053,-68.527,107.5,4.3,mb,,,,0.65,us,us10004buc,2016-01-28T03:02:27.399Z,"62km NE of Calama, Chile",earthquake,6.4,4.4,0.217,6,reviewed,guc,us
2015-12-30T21:29:23.040Z,-30.6777,-71.7346,25.62,4.5,mb,,180,0.085,0.94,us,us10004ahx,2016-01-27T00:47:18.056Z,"51km W of Ovalle, Chile",earthquake,3.9,5.4,0.192,8,reviewed,us,us
2015-12-30T21:17:11.190Z,-6.2051,150.0761,35,4.3,mb,,131,2.885,0.85,us,us10004bu5,2016-01-27T23:11:59.438Z,"58km E of Kandrian, Papua New Guinea",earthquake,6.6,2,0.154,12,reviewed,us,us
2015-12-30T20:58:57.000Z,51.8499,-174.3709,24.7,3.2,ml,,,,0.71,us,us10004bcm,2016-01-28T17:14:32.179Z,"40km SSW of Atka, Alaska",earthquake,7.2,4.7,,,reviewed,ak,ak
2015-12-30T20:01:41.000Z,54.0483,-165.6485,104.3,3.2,ml,,,,0.16,us,us10004bcl,2016-02-03T13:01:08.040Z,"12km SE of Akutan, Alaska",earthquake,8.4,6,,,reviewed,ak,ak
2015-12-30T19:50:48.210Z,-40.5641,173.4219,142.4,4.6,mb,,65,0.653,0.7,us,us10004agf,2016-02-03T19:46:54.040Z,"61km ENE of Takaka, New Zealand",earthquake,7.3,6.3,0.097,34,reviewed,us,us
2015-12-30T18:26:34.610Z,-24.4715,-175.8716,24.21,4.9,mb,,77,5.097,0.99,us,us10004bu1,2016-02-03T16:00:02.040Z,"South of Tonga",earthquake,13.7,4.7,0.074,57,reviewed,us,us
2015-12-30T18:13:45.400Z,35.6648,-97.4018,7.184,3,ml,,63,,0.75,us,us10004afu,2016-02-03T19:12:51.040Z,"7km E of Edmond, Oklahoma",earthquake,2,7,,,reviewed,tul,tul
